"driver_id","trip_id","started_at","acc_3050_avg","acc_5090_avg","gyroscope_distance_avg","acc_highway_sq_of_diff"
29,"316423D2-CF49-45A9-B761-9A79A4ECAB30","2021-06-22 15:09:27.0",,,,
29,"316EDCF5-156F-4544-8D6E-0FEE616D3D80","2021-10-29 17:59:46.0",2.25044,1.55943,0.19883,0.0
29,"31B6D4C3-3FD4-4542-919D-B5222C51588F","2021-06-23 20:31:20.0",1.75348,1.31527,0.0836724,0.0
29,"31BCCFF5-B49D-498C-BF99-133A46614B22","2021-07-18 17:58:37.0",2.51776,0.989482,0.136905,0.0
29,"31D2F1A2-0813-4343-9E88-C9927566DC66","2021-08-16 19:02:41.0",1.15636,0.738947,0.0501421,0.0
29,"32001DEB-5389-411B-A739-63BAB706BA72","2020-11-05 16:35:32.0",1.64523,1.21395,0.0827705,0.0
29,"32468073-1F3C-44E3-AADD-F750232E02E4","2021-01-20 13:33:04.0",1.22379,1.05081,0.0896388,0.0
29,"3341AE28-12C9-4C24-A050-198B6D73CBF3","2021-03-06 10:54:51.0",,,,
29,"335F95C7-52F3-4561-B309-007B912E901D","2020-06-07 18:57:27.0",1.72444,1.14359,0.100888,0.0
29,"3370BBC2-F7C1-4567-8FDB-B8ACE36BFF0E","2020-05-17 12:11:08.0",1.68564,1.22004,0.0392953,
29,"344B69D8-BA70-4799-8FB8-5A9925D55C9D","2020-06-10 08:11:47.0",1.24275,1.1662,0.169163,0.0
29,"34E353B2-E29A-48C0-A765-EF3DE898E030","2021-08-19 16:08:30.0",1.07294,0.0,0.440899,0.0
29,"34F4E40E-83DD-4179-9353-7945CFC09E3F","2021-06-20 14:56:58.0",1.84,1.48591,0.24522,0.0
29,"353E44CE-AABE-4F46-AFE0-D61EC53A26C2","2021-04-21 11:32:02.0",1.90681,1.98,0.0649957,0.0
29,"354DA2AD-A1F8-46E7-9E60-ADAB8A894BAC","2021-11-10 18:52:13.0",2.31273,2.664,0.0744449,0.0
29,"35744D9F-9FE2-4CA5-8697-6CA2D4E8F758","2021-01-03 13:43:02.0",1.9975,1.08,0.0907288,0.0
29,"35908C05-4AD5-4C4D-BD97-6ADF43658805","2021-08-16 19:02:39.0",0.0,0.0,0.110209,0.0
29,"366B3FFE-87F2-4CB5-887E-5BAA56702092","2021-06-04 14:35:28.0",2.52923,1.78909,0.0946183,0.0
29,"36BC6323-098C-48B1-B3E8-2AD54AC58B69","2021-09-08 23:43:13.0",2.01632,1.52558,0.255705,0.0
